name,address,phone,id,url,rating,review_count,longitude,latitude,is_closed
Liberty Station NTC Park,"2455 Cushing Rd San Diego, CA 92106",16195311534,gP-9JhBzF9duK2drmZId5A,https://www.yelp.com/biz/liberty-station-ntc-park-san-diego-2?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,140,-117.2157955,32.73155209,FALSE
Mount Etna Park,"4729-4811 Mount Etna Dr San Diego, CA 92117",,l97DUXw3T0BYXp1oL_wzxw,https://www.yelp.com/biz/mount-etna-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,4,-117.191055,32.822281,FALSE
Bird Park,"Upas St And 28th St San Diego, CA 92104",,_i7fBhvVLgxkF_c8o0bABw,https://www.yelp.com/biz/bird-park-san-diego-2?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4,31,-117.13362,32.74101,FALSE
Mission Heights Neighbourhood Park,"1644 Linbrook Dr San Diego, CA 92111",,fhUsGXwsyUZuoodvU-nDeg,https://www.yelp.com/biz/mission-heights-neighbourhood-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,3.5,5,-117.1651688,32.7751808,FALSE
Morley Field Sports Complex,"2221 Morley Field Dr San Diego, CA 92104",16195258262,y0r812FnK0k3NEuw90aH1w,https://www.yelp.com/biz/morley-field-sports-complex-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,20,-117.139134,32.738615,FALSE
San Carlos Park,"8100-8148 Lake Adlon Dr San Diego, CA 92119",,ojw7ypREaqGzCLLFeBDptw,https://www.yelp.com/biz/san-carlos-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,5,8,-117.0223312,32.797596,FALSE
Calumet Park,"5424 Calumet Rd San Diego, CA 92037",16192351169,k3hPh0xFd6eXr4q39arcEQ,https://www.yelp.com/biz/calumet-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,19,-117.2690397,32.81040046,FALSE
Linda Vista Community Park,"7050 Levant St San Diego, CA 92111",,wLbZ-M_XabOzsIsvhdVB7g,https://www.yelp.com/biz/linda-vista-community-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4,5,-117.1703149,32.79211464,FALSE
Mountain View Mini Park,"N Mountain View Dr San Diego, CA 92116",,zPb3KwE1cRRAGGLBaeyg2w,https://www.yelp.com/biz/mountain-view-mini-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,7,-117.121635,32.769042,FALSE
Solana Ranch Park,"13605 Pacific Highlands Ranch Pkwy San Diego, CA 92130",,Hu0SZPeuzrfKnwpodX9VCA,https://www.yelp.com/biz/solana-ranch-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,5,6,-117.1928373,32.96658172,FALSE
Mission Valley Off Leash Civita Dog Park,"2355 Via Alta San Diego, CA 92108",,51Y6jV1xVi-IjxZnSRuZiA,https://www.yelp.com/biz/mission-valley-off-leash-civita-dog-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4,47,-117.1477757,32.78319927,FALSE
Hoyt Park,"10800 Canyon Lake Dr San Diego, CA 92131",16195336731,5ogHjNdZwwlhGtulbvIUlg,https://www.yelp.com/biz/hoyt-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,5,-117.0989283,32.90505097,FALSE
Heritage Park,"2454 Heritage Park Row San Diego, CA 92110",18585653600,cKRyJnBISGT37WZ9LF0VuA,https://www.yelp.com/biz/heritage-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,34,-117.193149,32.753962,FALSE
Princess Del Cerro Community Park,"6198 Wenrich Dr San Diego, CA 92120",,9kFUo5-fJt6X8Ee1k2SOUQ,https://www.yelp.com/biz/princess-del-cerro-community-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,13,-117.0679092,32.78849216,FALSE
4S Ranch Community Park,"16118 4S Ranch Pkwy Bld D San Diego, CA 92127",18665653600,ftHkhHRktOdsisRGV8Tprg,https://www.yelp.com/biz/4s-ranch-community-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,5,17,-117.1161826,33.0037918,FALSE
Admiral Baker Park,"2400 Admiral Baker Rd San Diego, CA 92124",16195565525,OHVqjhIp8QzVHJYYQds_tA,https://www.yelp.com/biz/admiral-baker-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,3.5,47,-117.101664,32.795281,FALSE
Shelter Island Shoreline Park,"South Of Shelter Island Dr San Diego, CA 92106",16196866200,Cco_H1xL_iLEYuoY0euZ9g,https://www.yelp.com/biz/shelter-island-shoreline-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,61,-117.22811,32.71262,FALSE
Allied Gardens Community Park,"5155 Greenbrier Ave San Diego, CA 92120",16192351129,FGjnD1W4JHABaCM0ZAUn-A,https://www.yelp.com/biz/allied-gardens-community-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,18,-117.0795614,32.79573642,FALSE
Scripps Ranch Recreation Center,"11454 Blue Cypress Dr San Diego, CA 92131",18585388085,ZyBhdOtDRmI7eqdCyXu7-w,https://www.yelp.com/biz/scripps-ranch-recreation-center-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,5,8,-117.0797467,32.9276149,FALSE
Mira Mesa Community Park,"8575 New Salem St San Diego, CA 92126",,R6ZIUrWix0hj4Qvl6OP_dg,https://www.yelp.com/biz/mira-mesa-community-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4,21,-117.1402689,32.91513437,FALSE
Villa Monserate Park,"5728 Robusto Rd San Diego, CA 92124",,#NAME?,https://www.yelp.com/biz/villa-monserate-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,3.5,2,-117.1072775,32.8357783,FALSE
Harbor Island Park,"1910 Harbor Island Dr San Diego, CA 92101",,aJJsU3TvEXM3iux2XMydqA,https://www.yelp.com/biz/harbor-island-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,71,-117.2090905,32.72516982,FALSE
Golden Hill Park,"Golden Hill Dr San Diego, CA 92101",16192390512,Rdk0QczMHjDOtyc71wqxDg,https://www.yelp.com/biz/golden-hill-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4,35,-117.1372589,32.72076408,FALSE
Los Penasquitos Canyon Preserve,"12020 Black Mountain Rd San Diego, CA 92129",18585388066,xZJYC9tCJYSWFXJkxsdEsA,https://www.yelp.com/biz/los-penasquitos-canyon-preserve-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4,352,-117.127662,32.9371,FALSE
Sri Chinmoy Peace Garden,"2520 Adams Ave San Diego, CA 92116",,Dd5Ev3NGzR0xWNDlqU6CJQ,https://www.yelp.com/biz/sri-chinmoy-peace-garden-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,5,10,-117.1368065,32.76300711,FALSE
Villa La Jolla Park,"8436 Via Mallorca San Diego, CA 92037",,7MgJzpZZ8VSYJI1dokYOKw,https://www.yelp.com/biz/villa-la-jolla-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,15,-117.2345106,32.85964876,FALSE
Lopez Ridge Park and Meeting Center,"7245 Calle Cristobal San Diego, CA 92126",18585388171,702Vm3fzzLG8Tz3kDoXqbg,https://www.yelp.com/biz/lopez-ridge-park-and-meeting-center-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,17,-117.168136,32.92084166,FALSE
La Jolla Colony Private Park,"Charmant Dr San Diego, CA 92122",,qUAPAoDJOeuWlv7WqRjCZA,https://www.yelp.com/biz/la-jolla-colony-private-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,12,-117.2277689,32.86192538,FALSE
Torrey Pines State Reserve,"12600 N Torrey Pines Rd La Jolla, CA 92037",18587552063,WSntZlUXf0zuq0k96UoJ2A,https://www.yelp.com/biz/torrey-pines-state-reserve-la-jolla?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,1319,-117.259315,32.92695,FALSE
Torrey Pines State Beach,"12600 N Torrey Pines Rd San Diego, CA 92075",,udUaPizU1ZBY2SY6dVC62A,https://www.yelp.com/biz/torrey-pines-state-beach-san-diego-2?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,14,-117.249569,32.916577,FALSE
Cabrillo National Monument,"1800 Cabrillo Memorial Dr San Diego, CA 92106",16195234285,w_ULu1vdK2mg-PjzNDuLqg,https://www.yelp.com/biz/cabrillo-national-monument-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,681,-117.239526,32.674889,FALSE
Maple Canyon Trail,"3RD Ave San Diego, CA 92103",,axOkaZ33WheNYWWaL0vPZA,https://www.yelp.com/biz/maple-canyon-trail-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4,10,-117.1622103,32.73712585,FALSE
Point Loma Tide Pools,"Cabrillo National Monument Park Gatchell Rd San Diego, CA 92106",16195575450,eoYEY9Z6e8BZqiWEh5dm3A,https://www.yelp.com/biz/point-loma-tide-pools-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,112,-117.2443516,32.66803236,FALSE
La Jolla Cove,"1100 Coast Blvd La Jolla, CA 92037",16192351169,I4Ea3u8MZtK6hFE7YT9X4w,https://www.yelp.com/biz/la-jolla-cove-la-jolla?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,1320,-117.2728988,32.85045528,FALSE
SDSU Centennial Plaza,"5500 Campanile Dr San Diego, CA 92182",16195945200,8uUxmetJcFReJSzxp5v-ug,https://www.yelp.com/biz/sdsu-centennial-plaza-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,5,2,-117.06983,32.7746307,FALSE
Mount Soledad National Veterans Memorial,"6905 La Jolla Scenic Dr S La Jolla, CA 92037",18584592314,A80w26razTaH4b3GMxfD9A,https://www.yelp.com/biz/mount-soledad-national-veterans-memorial-la-jolla-2?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,5,421,-117.2446758,32.83981758,FALSE
Scripps Coastal Reserve,"9400 La Jolla Farms Rd San Diego, CA 92037",,M2GaCkKZgw3nMbXETbgGzw,https://www.yelp.com/biz/scripps-coastal-reserve-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,60,-117.2455134,32.87667989,FALSE
Black Mountain Open Space Park,"12115 Black Mountain Rd Ste A San Diego, CA 92129",18585388082,8zGAb6QIkBKtM2zwkWnI5w,https://www.yelp.com/biz/black-mountain-open-space-park-san-diego-2?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4,48,-117.1263962,32.93907928,FALSE
Air Force Recruiting Office,"9807 Mira Mesa Blvd San Diego, CA 92131",16195409188,Vdgw9fmAH8lfyAArExdMAA,https://www.yelp.com/biz/air-force-recruiting-office-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,11,-117.11384,32.91633,FALSE
Fort Rosecrans National Cemetery,"1800 Cabrillo Memorial Dr San Diego, CA 92101",16195532084,5-aX3Tzg6zVhMOGapOr-OA,https://www.yelp.com/biz/fort-rosecrans-national-cemetery-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,5,101,-117.2451679,32.68875413,FALSE
The Children's Park,"326 W Harbor Dr San Diego, CA 92101",,D2s40y8kIg1OaFCqd6WgGQ,https://www.yelp.com/biz/the-childrens-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,3,9,-117.1668515,32.7105488,FALSE
Tweet Street Park,"9th Ave & Date St San Diego, CA 92101",,zc1qj1Z1Vvov6HDyXbljdA,https://www.yelp.com/biz/tweet-street-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,22,-117.15658,32.72296,FALSE
Balboa Park Kids Playground,"2100-2198 Park Blvd San Diego, CA 92101",,vYqVVZymbFFlqhgS6Y1BHA,https://www.yelp.com/biz/balboa-park-kids-playground-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4,13,-117.14959,32.727193,FALSE
Kellogg Park Children's Playground,"6200 Camino Del Oro La Jolla, CA 92037",16192365555,QcCr4pwMSVCLvhH_UAOsHg,https://www.yelp.com/biz/kellogg-park-childrens-playground-la-jolla?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,22,-117.2571873,32.85623026,FALSE
Embarcadero Marina Park North,"500 Kettner Blvd San Diego, CA 92101",16196866200,jGOqn3A8Q_hcCekbQSZU9Q,https://www.yelp.com/biz/embarcadero-marina-park-north-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4,51,-117.1694979,32.70859078,FALSE
Sesame Street Bay of Play,"500 Sea World Dr San Diego, CA 92109",18002574268,eTQ1O7LUOgKWiTFnJKvN8g,https://www.yelp.com/biz/sesame-street-bay-of-play-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,57,-117.225125,32.76512458,FALSE
Ward Canyon Neighborhood Park,"39TH And Adams Ave San Diego, CA 92116",,QzQc2At00T7ZgZWdzA2z0Q,https://www.yelp.com/biz/ward-canyon-neighborhood-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4,33,-117.1105922,32.76283969,FALSE
