id,rating,text
Torrey Hills Park,5,We have visited this park several times now and love it. It's our go to park to take our infant daughter if we want to take a couple of hours for a chill...
Sunset Cliffs Natural Park,5,"What more can one say about Sunset Cliffs it's absolutely gorgeous here anytime of the year. 

Even during the pandemic people are still respectful and..."
Sunset Cliffs Natural Park,5,This has to be on everybody's list of places where you take out-of-town guests. The traffic on Sunset Cliffs Boulevard certainly reflects that. Most people...
Sunset Cliffs Natural Park,5,"Still open during COVID shut down, street parking only. Had a wonderful time. Everyone wore masks going up and down the staircase."
Pioneer Park,5,I love Pioneer Park!  I first found it when I was looking for a park to host a picnic for our French Meetup group and wanted somewhere we could drink wine....
Pioneer Park,5,"Super cute, quiet,  quaint, central and you can bring alcohol, randomly this use to be a cemetery.

Pros:
- location
-parking
-hours
-free
-nature/trees
-..."
Pioneer Park,5,Took a walk here after brunch on Washington St. but I had been here for a couple other events. I hadn't realized that it's actually a cemetery of early...
Cabrillo Heights Neighborhood Park,4,"I came to this park cause it was close by and my daughter wanted to play on the playground. 

There's plenty of parking in front and across the street from..."
Cabrillo Heights Neighborhood Park,3,Definitely a nice older neighborhood park. The best and most maintained portion of the park are the four softball fields which are also used for junior...
Cabrillo Heights Neighborhood Park,5,Very quiet park during the day on the weekdays. I am not sure on the weekend. This park is located in a very road but on the other side of the park are...
Torrey Meadows Park,5,"The play structures at this park are very unique, so my kids really enjoyed climbing on those. Some of the bars to climb at this park were unlike any at..."
Torrey Meadows Park,5,"My husband and I are fan faves of this park.  Torrey Meadows Park has a large grassy area, 2 shaded pavillions, a sand pit, and a separate play place for..."
Torrey Meadows Park,5,"Such a great park located so close by. There's a wide open grass area, a couple shaded table areas, plenty of tables and benches throughout the park, 3 play..."
Palisades Park,5,"I took a walk on the sidewalk that
was atop the beach with my mother. 

We decided we needed a nightly 
walk taking in all of the sites 
and scenery that we..."
Palisades Park,4,"Ocean Beach is one of my least favorite places in San Diego -- the energy is overwhelming. 

But the nearby Palisades Park turns out to be among my..."
Palisades Park,5,Palisades Park overlooks Tourmaline surf park and pacific beach a little green area and walking area.  Good place to watch the surfers and the sunset.
Miramar Overlook Park,5,"One of our favorite walks! Nice man-made lake in an otherwise lake-less San Diego. If you want to get away from the beach for a while and get a more ""trees..."
Miramar Overlook Park,4,"There's a seesaw here! More parks should have those, they're really fun! :)

This is a small park with a beautiful view of Miramar Lake. There's grass for..."
Miramar Overlook Park,4,"My daughter wanted to go to a park nearby so this was close to where we were. 

As we pulled up, there's a small parking lot up front. There were two..."
Lake Murray Community Park,5,This is a great playground with lots of fun equipment for the kiddos. There's a really fun slide my son wouldn't get off of and the merry-go-round was safer...
Lake Murray Community Park,4,"I have been walking here with my son a couple of times a week and we have been having a blast! 

There is a lot of wide open space and he loves to be able..."
Lake Murray Community Park,4,"Large beautiful park near the lake. 
This park has a big grassy area, shaded seating, a playground. Its popular spot for birthday celebrations, sports, kids..."
Grantville Neighborhood Park,5,"Nice, clean and quite place to sit at a picnic table under a tree. The playground was closed when I was  there, so that may have added to the quietness."
Grantville Neighborhood Park,5,Peaceful is the best way to describe this park. I visit this park a few times a month on my lunch break and always have found it quiet and peaceful.  The...
Grantville Neighborhood Park,4,"This is a great little neighborhood park. It's well maintained by the city and heavily used by the surrounding community.

The park offers a small..."
Hilltop Park and Recreation Center,5,"The Yelp reviewers are right about this park. The high elevation gives you spectacular views.

There is plenty of parking, and there are restrooms.

There..."
Hilltop Park and Recreation Center,4,With Covid and not being able to eat in restaurants...the family and I have been going to the local parks for early summer picnic dinner with takeout...
Hilltop Park and Recreation Center,4,"This park has a sweet spot in my heart. It was a park I use to frequent quite a lot when I was in high school. The views at night are really nice, you can..."
Liberty Station NTC Park,5,My 6 year daughter had a blast riding her bike here. The roads were wide and leveled. The views of the water were cool as well!
Liberty Station NTC Park,4,"Beautiful space, lots of room to play with the kids or walk the dog. Nice place to get fresh air. There's a friendly stray cat I see sometimes here, he..."
Liberty Station NTC Park,4,"Great park! I always bring visitors from out of town here for the views, lovely markets and eateries. It used to be one of the only places you could drink..."
Mount Etna Park,5,"We (illegally, I guess) play on the play structure and riding animals. Swings are not usable. 

Nice park with seating and picnic tables in the shade. The..."
Mount Etna Park,3,I came to this park because we were in the area and my daughter wanted to play. It's nice and has lots of trees but I think it's in a ghetto place where...
Mount Etna Park,5,I found this part to be quite nice and very pet friendly. It's in a quiet neighborhood as kind of most parks are in California. There was no transient...
Bird Park,5,"Best park in San Diego. Green, sunny, calm, plenty of parking. No cops so crack that beer, pour your wine, shoot your heroin in peace.  

Heads up
Lacks a..."
Bird Park,4,"Wow, has this little park zoomed in popularity over the past several months!

First off, don't expect to find a lot of birds in Bird Park.  Sure, there's a..."
Bird Park,4,Cute little park for local residents. And what I mean by local residents is because it doesn't have a bathroom facility you'll either have to walk/drive...
Mission Heights Neighbourhood Park,3,"Came to this park cause my daughter likes to play on the playground. We happened to find this place on Yelp. 

As we pull up, there were plenty of parking..."
Mission Heights Neighbourhood Park,4,This park is a bit of a mixed bag.  I like going here mainly due to the proximity of my house.  If I lived elsewhere I would definitely not make the trek up...
Mission Heights Neighbourhood Park,3,"The park is quiet and usually not crowded at all. They have plenty of parking, a half basketball court, playground for kids (or big kids), swings, a slide,..."
Morley Field Sports Complex,5,"This is my favorite place to unwind. 
I come here for my evening walks with my friends, once a week I do boot camp in the am and sometimes I come watch my..."
Morley Field Sports Complex,4,Haven't had to go here in years! Our sons Taekwondo class meets here. It is a hidden gem that o had shelved in my mind so long ago! As stated we are using...
Morley Field Sports Complex,5,"Morley Field offers plenty of outdoor space for family picnics and Pokemon Go players. 
Large outdoor swimming pool, tennis courts, frisbee and archery..."
San Carlos Park,5,Park was nice and clean as far as empty trash cans and looked green ! Basketball courts were right next to the playground which is a pretty big as well for...
San Carlos Park,5,"Beautiful clean neighborhood park. Nice plush grass. Extremely clean free of debris and pet poop. 
Plenty of tables."
San Carlos Park,5,"We love this park! Great location and lots of fun equipment. Tends to be a bit chillier than other parks in  the area, especially in the evening, so bring a..."
Calumet Park,5,"We had out-of-town guests and we wanted a nice picnic spot with a sunset view. Yelp to the rescue! We decided on Calumet Park, and it was the perfect spot...."
Calumet Park,5,"Lit-Uh-Ruh-Lee my favorite park in San Diego. I lived in San Diego for 3 years without a vehicle. I would traverse the land on foot, bike, and bus. There..."
Calumet Park,5,"What's not to say about this little gem in bird rock area? 

I love that is rather private and not many people know or go here. There is a small patch of..."
Linda Vista Community Park,5,"Huge 35,000 foot skate park that kids flock to. Wonderful addition to the neighborhood. Great place to take your kid and teach them how to scooter or..."
Linda Vista Community Park,5,"Good place to play tennis skateboard badminton and basketball. The weight room needs to be upgraded; looks like it had been pilfered. 
I will contact the..."
Linda Vista Community Park,3,It is always nice to get outside and enjoy the sunshine. Having a park nearby is a true asset to a community. A large park with a large number of baseball...
Mountain View Mini Park,5,"Thank you husband for introducing me to this little tiny cute park!!! 
I thought he was joking when he talked about it, I didn't think such a little space..."
Mountain View Mini Park,5,"Ummm this is the most adorable little patch of land with a view between houses to call itself a park ever! The fact that it is even designated as a ""mini""..."
Mountain View Mini Park,5,"Why all the haters? The Mini Park is ridiculous. Enjoy its kitschiness. 

When walking the Mountain View stretch of Normal Heights (approx 4 miles round..."
Solana Ranch Park,4,Great neighborhood park! It offers a nice playground for the little one. One for the young ems and one for the preteens. Next to the playground equipment...
Solana Ranch Park,5,"From the outside, the park looks small, but it is actually HUGE!

We came here to walk our dog, and he loved it.

Lots of kids and huge playground..."
Solana Ranch Park,5,"Such a great park!
- Toddler structure & age 5-12 structure
- 4 bucket swings & 4 regular swings
- sand + paths to ride bikes, walk dogs, stroller..."
Mission Valley Off Leash Civita Dog Park,5,"Our two huskies love coming to this park! It's closed off, has poop bags, has grass and some shade. There are two areas: one for large dogs and the other..."
Mission Valley Off Leash Civita Dog Park,4,We've been going here pretty much everyday and my dogs love it. There are two separate gated areas for small and big dogs. Small dog area have little more...
Mission Valley Off Leash Civita Dog Park,5,This dog park is awesome! I love how there is separate parks for big dogs and little dogs! People here are friendly and the park is cleaned often. My dog...
Hoyt Park,4,"Great neighborhood park.
-Lots of shade throughout the day
-Nice play structure and swings, wood chip bedding
-Large well kept lawn for activities 
-Stage..."
Hoyt Park,5,SOOO beautiful. My best friend and I discovered this park today and it is so peaceful and has tons of shade. Such a friendly environment..
Hoyt Park,5,This park is a hidden gem! In a great quite neighborhood it is a great place for families we brought our daughter for a picnic and the grass was so soft you...
Heritage Park,5,"This is one of San Diego's gems.  Beautiful homes,
some are bed and breakfasts, which will of course allow you into them. You can also go into the..."
Heritage Park,5,"This is another staple of the history of Old Town. 

All of the houses in this park, continue to remain intact. On the front of each house, there is a..."
Heritage Park,3,Heritage Park is a must see !  It's next to the oldest hotel in San Diego ; which we are very proud of The Cosmopolitan Hotel. Heritage Park has numerous...
Princess Del Cerro Community Park,4,This is a great community park and very family oriented which makes sense since it's smack down in the middle of the community of Del Cerro. I'm not sure of...
Princess Del Cerro Community Park,4,"Our family loves this park for our toddlers!! I am concerned about the city worker who empties the trash around 10:15 every Saturday (possibly other days,..."
Princess Del Cerro Community Park,5,"I love this community park, and I'm thankful that it's near me and my family. Each time I've taken my toddler daughter there, it's never been too crowded...."
4S Ranch Community Park,5,The sports facility here is awesome! It's a pretty decent sized plot of land that's covered with astroplay turf. There's several soccer and baseball fields...
4S Ranch Community Park,4,"The location have two parks, one is 4s community park and the other one is 4s ranch sports park.  
1. 4s community park
This park is kid friendly with play..."
4S Ranch Community Park,5,"Great park for kids. Large playground plus easy parking and bathrooms, and the view is amazing!! Great events are occasionally hosted there for the..."
Admiral Baker Park,4,Adam has driven by here before and knew about the park so when I said I thought it was time the baby get to experience a park he said we should try it out...
Admiral Baker Park,5,Been here many times. One of the biggest parks in SD. Signed up my daughter for Summer swim lessons. 8 lessons for $50. Much better deal than YMCA. my kids...
Admiral Baker Park,4,"You must either be active duty, reservist, dependent or contractor to get into the pool. The pool is really nice and heated as described. There's an area..."
Shelter Island Shoreline Park,5,"This review ncludes a visit during the Covid-19 pandemic. 
I lived on a boat in a marina on Shelter Island so walked through the park a number of days a..."
Shelter Island Shoreline Park,5,This location is wonderful! On one side are four different hotels and across the street is grass and walking path along the bay ! We park and walk watching...
Shelter Island Shoreline Park,5,When in San Diego and you wish for a beautiful scenic stroll Shelter Island Shoreline Park is a must.  I've been enjoying the park for over 30 years....
Allied Gardens Community Park,5,"Great community park with rec center, pool, playground and sports fields.  Although we don't come often, it's always been clean and very well maintained..."
Allied Gardens Community Park,4,"This is a pretty typical neighborhood park. with a large grassy area, some lovely mature trees, playground equipment, some BBQs, and a rec center.  I hadn't..."
Allied Gardens Community Park,5,Allied Gardens community park is a very large park with a community rec center. The park is very well-maintained and includes a baseball field and public...
Scripps Ranch Recreation Center,5,Al (me bowing down)... I am not worthy to add more to your review. Ok... except for one addition... this park has stairs you can run up and down on. That is...
Scripps Ranch Recreation Center,5,I can't compete with Al's review.  It's just a great family park.  Lots of kids during the weekend.
Scripps Ranch Recreation Center,5,My kids love this park. This is where my older one learned how to ride his bike without training wheels.  The large paved perimeter around the field is...
Mira Mesa Community Park,5,"This is an amazing park! There are multiple walking/running paths and a bunch of sports fields for baseball, basketball, soccer etc. There are also art..."
Mira Mesa Community Park,4,This place would be 5 Stars if it wasn't for the inconsiderate morons running around here.  It's been beautifully redone - land that was previously Little...
Mira Mesa Community Park,5,"Living in 4S Ranch, I've come to appreciate all the parks within walking distance from my home.  That being said, I recently visited the Mira Mesa Community..."
Villa Monserate Park,4,I love this little park.  It's a hidden gem up in the hills.  It's always quiet and has a great view on the west overlooking the canyon.  It's a nice place...
Villa Monserate Park,3,"Clean, shady community park with lots of trees, dog waste bags for dog walkers, and playgrounds with a separate play area for little tots."
Harbor Island Park,5,"Harbor island is your pandemic playground. Get your exercise by walking, running, biking, fishing, picnic, people watching, boat watching, dog walk, vitamin..."
Harbor Island Park,4,"When we visit San Diego, which is often, we usually stay right down the street from Harbor Island.  I love being able to get up early and run from our hotel..."
Harbor Island Park,4,"Great little Park near the airport. We stopped here to relax and take in the views as we waited for friends at the airport. 

It's a relatively narrow strip..."
Golden Hill Park,4,"Golden Hill Park is technically a part of Balboa Park. Located close to the naval hospital, it's a bit further away from the more visited parts of the park..."
Golden Hill Park,4,"So, here's the plan.  You grab a pizza or sandwich at Pizzeria Luigi, then take a stroll a couple of blocks to the end of the street and enjoy your food at..."
Golden Hill Park,3,"I've only come here when there's an event going on. I like that it's a spacious park, which makes for a great venue for food events, especially when we're..."
Los Penasquitos Canyon Preserve,5,"Had some time to kill so why not find a trail for a quick hike. Upon entering, there's a kiosk where you pay for parking. There's pink envelope for the cash..."
Los Penasquitos Canyon Preserve,5,"Best hike ! I went with my friends last weekend and it's more of a nice walk, we want to see the waterfall but we got lost along the way, my advice just..."
Los Penasquitos Canyon Preserve,4,"Great spot for trail running! You could hike but it's a bit boring until you get to the waterfall. This trail is flat and really easy.

I've been here a few..."
Sri Chinmoy Peace Garden,5,Very well maintained garden. Love having this in the neighborhood. The person who volunteers to maintain this spends so much time and effort to provide this...
Sri Chinmoy Peace Garden,5,"I can't imagine giving a spot like this less than five stars. A garden is always welcome. 

I came here thinking I'd find a quiet and secluded place to..."
Sri Chinmoy Peace Garden,5,"Om.

Small and well kept grounds. There's benches that you can just sit down and take a breather and block yourself out of the city's surroundings. I can't..."
Villa La Jolla Park,4,Very convenient park. Always lots of dog traffic & baby-nanny combos. Not everyone abides by the leash law which is a bit annoying since my dog hates being...
Villa La Jolla Park,4,"This a clean and family oriented park. When I visited there a few families holding birthday parties for the young ones, couples working out together, and a..."
Villa La Jolla Park,4,Big open space park in the center of La Jolla Colony. Nice green grass and well maintained landscape (the gardeners need a special 'Shout Out' for the...
Lopez Ridge Park and Meeting Center,5,"I really liked this park. It has a nice grass area for activities, and playground for children, picnic tables, and most importantly well maintained..."
Lopez Ridge Park and Meeting Center,5,"I love, love, love this park! I take my dog walking here every day. It is super huge and very clean. There is a playground where kids can play and a..."
Lopez Ridge Park and Meeting Center,3,I went her to dive off on that road that goes down into the canyon.  It is on your right as you drive into the park.  I enjoy walking around in the brush...
La Jolla Colony Private Park,5,Visited this park last weekend after living for 3+ years in the neighborhood!! Have past it numerous times but had never stopped to check it out. It was...
La Jolla Colony Private Park,4,I had no idea this place existed until covid19. I stumbled upon it by walking my dog around my neighborhood. This park was not off limits when all city...
La Jolla Colony Private Park,5,"Love this place with pet. Clean, quiet, and safe park. Recommend to all neighbors to enjoy fresh green environment."
Torrey Pines State Reserve,5,Love Torrey Pines State Reserve and so happy they are back open after Covid-19 shut it down for a good few months.  Nothing beats the serene hiking trails...
Torrey Pines State Reserve,5,Beautiful hike on the beach with a killer view. There are lots of trail options. You can walk up the paved pathway or along the sand and then take the...
Torrey Pines State Reserve,5,"Awesome, relaxing most people following social distancing.  
Sounds of waves are the best, very clean, lots of space to park your gear.
No shade whatsoever,..."
Torrey Pines State Beach,5,Torrey Pines State Beach has a special place in my heart. It's the beach closest to us and we went there a lot with the kids growing up so lots of good...
Torrey Pines State Beach,4,Beautiful beach. Easy access and was easy to find parking even in the afternoon. I appreciate that there were Bathrooms at the parking are- so about five...
Torrey Pines State Beach,5,"As soon as we arrived at the beach to park, it was beauitful. There were many people at the beach but keeping a distance between other people and families...."
Cabrillo National Monument,5,"Glad to come to check out the place. We found this place out on Yelp, thanks Yelp again! It's 20 dollars for parking and the daily pass. The museum closed..."
Cabrillo National Monument,5,"If your going to visit the Cabrillo, better get the annual pass which is $40 than the 7 days pass for $20. Annual pass is worth every penny. It's very..."
Cabrillo National Monument,5,It's hard to believe that Cabrillo National Monument is in the city of San Diego as it feels like an island of its own.  The park has a lot to offer in...
Maple Canyon Trail,5,"Great trail nestled in Banker's Hill. It is rather short. Walking slow, you should be able to go down (or up) and back in 45 minutes or so. It is beautiful..."
Maple Canyon Trail,5,My boyfriend and I tried this short trail for our first time. It was a nice little trail full of greens. Great spots for pictures ! The breeze is awesome &...
Maple Canyon Trail,4,This is a very cool trail not well known except for the locals. I checked it out on a Sunday morning and it was being lightly traveled. The trail is cool...
Point Loma Tide Pools,5,Beautiful views of the ocean all around. Fun to get out and explore nature.
Point Loma Tide Pools,4,"Cabrillo is a national park so make sure you use your park pass if you have one, about $80 for the year, otherwise price is kind of steep for a single visit..."
Point Loma Tide Pools,5,Excellent place to take the family. This is part of the national park network where if military you can get annual membership free of charge. I suggest...
La Jolla Cove,5,Love this cute little beach. Parking can get very difficult so be prepared. I went during the summer so parking was difficult. People were still social...
La Jolla Cove,5,Came here last week to see the seals and it's worth it. We spent 15 dollars at a public parking structure and walked toward the beach. It's not too crowded...
La Jolla Cove,5,"New to San Diego and I'm amazed at the beautiful beaches at this time of year!  (IM FROM NORCAL, which is currently freezing right now). 

The weather was..."
SDSU Centennial Plaza,5,This is a nice plaza at SDSU. You can usually find a lot of clubs/organizations here flyering. This is one of the busier walkways at state so sometimes...
SDSU Centennial Plaza,5,"Public square and central plaza on the campus of San Diego State University.  located between the student services building Aztec Student Union, SDSU..."
Mount Soledad National Veterans Memorial,5,"I needed to get out of my apartment and do / see something creative, so with a little quick Google search, I was able to find Mount Soledad National..."
Mount Soledad National Veterans Memorial,5,MY GOD!!! This place is breath taking and so beautiful. It's a great place to sit back and relax and se the world around you. The view is just incredible....
Mount Soledad National Veterans Memorial,3,"With Covid and not being able to eat in restaurants...the family and I have been going to the local parks for picnic lunches with takeout food...

So here..."
Scripps Coastal Reserve,5,"GORGEOUS quick loop in La Jolla. 

As others have said, it's flat and very easy to navigate. That doesn't take away from the beauty though - such a..."
Scripps Coastal Reserve,4,"This sunset watching spot is beautiful! Scripps Coastal Reserve is popular spot, it was crowded when I came. People came here for a mini picnic with..."
Scripps Coastal Reserve,5,I heard of this place from a local on how its such a great view of the sunset and its not as populated like La Jolla. I'm so glad she mentioned this to...
Black Mountain Open Space Park,5,"Tried the Nighthawk trail to the Black Mountain summit for the first time today and am hooked. Recommend trailhead starting from Hilltop park. 
As you..."
Black Mountain Open Space Park,4,Started July 2020 with a kick-butt hike ! So glad I finally checked this place out since it's in my neck of the woods ! Thanks to my bro for accompanying...
Black Mountain Open Space Park,4,"We parked at he park across the street. The walk up Night Hawk trail is full of large scree (loose rocks) and later small gravel. When you get to the top,..."
Air Force Recruiting Office,5,My 19-year old son swore into the military last week & it is with great pleasure that I write this review for TSgt. Michelle Guerrero who provided him with...
Air Force Recruiting Office,5,"TSgt. Guerrero is incredible at her job. She is very direct and concise, but extremely approachable and fun to talk to. She goes above and beyond to make..."
Air Force Recruiting Office,5,This office is a great office to visit if you have any plans of joining the USAF. I am from the Oceanside area and I deliberately come out of my way to...
Fort Rosecrans National Cemetery,5,5 stars. Flat out breathtaking. Pristine views in all directions. Great for cyclists! Sort of wish there was at least one vending machine at some place. A...
Fort Rosecrans National Cemetery,5,Both beautiful and magical place. I just want to thank all the soldiers and their families. The green lawns of the necropolis are strewn with neat rows of...
Fort Rosecrans National Cemetery,5,"I wish there was a million star option. 125,000 heroes laid to rest here. Everyone should visit a military cemetery every now and then to remind us the..."
The Children's Park,3,"There's a bit more to Children's Park than the current Yelp map pin and some of the photos and reviews suggest. 

While there is a semi-sheltered play area..."
The Children's Park,4,Good place to take your kids! They have playground equipment for infants as well. We threw my daughter her first birthday here and it was a great time. Only...
The Children's Park,3,Not sure this park lives up to its name.  Playgrounds feel like jails. Maybe best to try a different park or the museum if you are looking for a good time...
Tweet Street Park,5,"This is a very compact, narrow park that occupies what would otherwise be a forgotten bluff atop a freeway. They've done a very nice job with such a small..."
Tweet Street Park,4,"Small, not fenced in liked I hoped. For a two year old everyone who walks by with a dog is a temptation. Lol still very nice park"
Tweet Street Park,4,"Tweet Street Park (not just the playground, but the park that wraps around down to 10th and Cedar), is a big reason I moved to Cortez Hill.  It's so nice to..."
Balboa Park Kids Playground,4,"First time here. Kids enjoyed. Went here around 6pm, so it wasn't that crowded. Some of the animals need to be painted & repaired. It's a safe place for..."
Balboa Park Kids Playground,3,"Large park with lots of running area, but some homeless around & not the cleanest park we've been to. Good for kiddos but adults have to be watchful since..."
Balboa Park Kids Playground,4,"A great park to bring your kids to;(a friendly tip; keep your ""adult-eyes"" peeled when watching your loved ones, just a lot of things going on, just..."
Kellogg Park Children's Playground,5,"Truly worth the price of admission.

If you get here early enough you'll find a good spot for parking as well as at the playground.

There are tons of..."
Kellogg Park Children's Playground,5,"Bathrooms, grass, shade, walking path along the beach. This was a great place to let the kids play, have a break from travel and enjoy the beach. Huge..."
Kellogg Park Children's Playground,5,"This is a really great park for kiddos and you can't beat the view. They have to play structures, swings and, of course, lots of sand! Some of the play..."
Embarcadero Marina Park North,5,"Beautiful place to stroll in good SD weather.  I should really start doing cardio again and jog around in this area but walking will do for now.

This place..."
Embarcadero Marina Park North,3,"Like its ""south"" namesake next door, Embarcadero Marina Park North is a small hook-shaped peninsula that juts out into the bay. Kettner Boulevard ends here..."
Embarcadero Marina Park North,4,"This food blogger has been to many a events here at Embarcadero Marina Park North.

The one over the weekend was held here and it was the best food festival..."
Sesame Street Bay of Play,5,"Definitely worth the price of admission.

With so many options to keep children busy, you'll never have to leave to section of the park, unless you want to..."
Sesame Street Bay of Play,5,"The area itself is pretty small with only 3-4 attractions for young toddlers, but the photo opps with the characters make it well worth the visit. The staff..."
Sesame Street Bay of Play,5,"My kiddos LOVE Sesame Street so the joy of seeing their faces when I say we're going to go see Abby and ride the ""Elmo ride"" is priceless. For a kid are..."
Ward Canyon Neighborhood Park,4,When you catch this park on a good sunny San Diego weather this places comes alive! So almost everyday ‍ Next time you're at the park and it's packed I want...
Ward Canyon Neighborhood Park,3,"This is a nice park, not the best one I've been to, but I like it. I enjoy walking around this park with my dog. It has large grass areas, a basketball..."
Ward Canyon Neighborhood Park,4,"Great park! I wanted to visit based on the a Yelp reviews. It was better than expected. Nice shaded areas. It has 2 play structures, one of them for smaller..."
Children's Ethnobotany Garden,4,I am pretty sure you have passed million times by the World Beat Center and saw this cute little semi-urban garden and wondering if a bunch of hippies or...
Childrens Playground,5,Places like these need to easy to find!  This children's play area has been here for years!  I'm sure it has been renovated over the years but I'm surprised...
Sunset Park - San Marcos,5,My boyfriend and I were visiting his family in Vista and decided to grab lunch at Mariscos Ensenada and search for a park nearby his family's house. This...
Sunset Park - San Marcos,5,"It's like the perfect park. Well planned and has everything. Tons of open space for sports or parties, lots of kid play areas including a water area (all..."
Sunset Park - San Marcos,5,"Around my house, there are about five or six small parks within reasonable walking distance from my front door.  But, with a large dog and two rambunctious..."
Sunset Park,3,Strange hidden little park near the 7-11 on Baltimore. I never knew this place existed until Sean Gecko R showed me. Its hidden down a long road behind some...
Sunset Park,4,"I played Little League here... ah yes, good times and bad"
Sunset View Park,5,"Nice neighborhood park. Very clean. Basketball court, cement hockey, playground, shaded picnic area, baseball field, large grassy fields, adequate parking..."
